# fiber x(mm) y(mm) theta(deg) phi(deg) illumination_fraction
0 184.393230 95.818601 0.844951 27.458316 1.29633e-05
1 299.120215 23.228125 1.204946 4.440382 1.21431e-05
2 357.636427 122.766108 1.498468 18.945845 1.13704e-05
3 305.155390 177.085288 1.404624 30.127101 1.16271e-05
4 241.937875 122.779656 1.094292 26.907075 1.24129e-05
5 336.546521 140.908134 1.449424 22.718497 1.15036e-05
6 32.791607 14.340951 0.147217 23.621491 1.4006e-05
7 362.657940 95.644334 1.487176 14.774297 1.14015e-05
8 294.490742 158.965393 1.336521 28.360067 1.18078e-05
9 294.292382 122.735406 1.276783 22.638704 1.19627e-05
10 368.599733 140.813947 1.558834 20.908057 1.12019e-05
11 320.181811 5.213704 1.281959 0.932898 1.19494e-05
12 225.907733 41.419744 0.931483 10.389674 1.27809e-05
13 189.584158 86.766139 0.847702 24.591938 1.2957e-05
14 336.170439 86.588744 1.383416 14.443938 1.16833e-05
15 246.851635 59.490406 1.026613 13.549712 1.2571e-05
16 289.187659 149.907618 1.302829 27.401089 1.18953e-05
17 388.990030 32.319494 1.543297 4.749549 1.12456e-05
18 294.401358 140.863047 1.305224 25.569847 1.18886e-05
19 236.347045 41.410859 0.971901 9.938036 1.26916e-05
20 368.284775 122.760358 1.535518 18.434776 1.12683e-05
21 173.647826 5.210094 0.708887 1.718575 1.32278e-05
22 273.250325 104.623110 1.176460 20.951031 1.2215e-05
23 325.853037 122.767894 1.387420 20.644326 1.16722e-05
24 142.442634 41.431374 0.606683 16.217789 1.34067e-05
25 236.253076 5.211370 0.957611 1.263650 1.27235e-05
26 79.766025 23.331201 0.341311 16.303959 1.37989e-05
27 304.916626 140.875470 1.341156 24.797555 1.17936e-05
28 389.220676 68.468296 1.561082 9.976897 1.1195e-05
29 79.840293 41.544619 0.369501 27.490058 1.3763e-05
30 173.802124 59.619059 0.749031 18.933423 1.31525e-05
31 262.380030 14.246910 1.061105 3.108038 1.24906e-05
32 289.422922 186.130979 1.372045 32.745505 1.17139e-05
33 251.925823 14.248057 1.020399 3.237004 1.25838e-05
34 226.381526 149.989991 1.095269 33.526624 1.24108e-05
35 221.037299 122.882169 1.022626 29.071175 1.25799e-05
36 226.066680 77.650301 0.968301 18.956780 1.2702e-05
37 263.107700 177.059190 1.270236 33.938711 1.19798e-05
38 231.489664 122.825868 1.058342 27.949930 1.24967e-05
39 268.290096 167.995128 1.267995 32.053551 1.19851e-05
40 247.062311 95.652960 1.069531 21.164474 1.24721e-05
41 95.396236 14.273578 0.395872 8.509702 1.37275e-05
42 347.997707 195.220165 1.575004 29.291605 1.11554e-05
43 147.853816 86.821571 0.699793 30.421977 1.32441e-05
44 137.132709 14.269231 0.564320 5.940487 1.34769e-05
45 378.395875 50.410302 1.511783 7.588323 1.13332e-05
46 378.255510 14.264202 1.499954 2.159629 1.13653e-05
47 257.148454 5.211862 1.039423 1.161107 1.25411e-05
48 189.643963 104.854127 0.880235 28.938201 1.28903e-05
49 389.370287 86.545845 1.574484 12.531488 1.11564e-05
50 346.854992 104.672518 1.439960 16.792555 1.15298e-05
51 263.004780 158.944029 1.232786 31.146203 1.2074e-05
52 288.616877 23.241765 1.164757 4.603985 1.2242e-05
53 267.798730 59.424995 1.105931 12.511306 1.23858e-05
54 394.353944 41.374651 1.565903 5.989421 1.11815e-05
55 362.361204 5.215411 1.440309 0.824593 1.15286e-05
56 90.344707 59.677861 0.444072 33.447050 1.36616e-05
57 152.781032 5.209693 0.624950 1.952977 1.33775e-05
58 405.041099 23.296454 1.599342 3.291813 1.10869e-05
59 299.495813 113.686233 1.282425 20.786364 1.19476e-05
60 388.925589 14.244732 1.539109 2.097569 1.12566e-05
61 283.391969 32.276030 1.148092 6.497524 1.22824e-05
62 189.729955 122.967371 0.917366 32.947993 1.2812e-05
63 283.726648 104.605594 1.214036 20.238145 1.21215e-05
64 384.585575 131.725245 1.602274 18.906957 1.1079e-05
65 252.485539 140.842587 1.163066 29.153843 1.22466e-05
66 257.415091 77.541562 1.084713 16.763962 1.24361e-05
67 147.628684 32.370609 0.617952 12.367542 1.33882e-05
68 111.141510 41.439853 0.486163 20.448306 1.35998e-05
69 314.914771 32.269795 1.268060 5.850764 1.19843e-05
70 116.327466 32.366317 0.494825 15.548403 1.35867e-05
