NIGHT,EXPID,CAMERA,AMP,RDNOISE,GAIN
20220601,137628,b0,A,4.099014916189597,1.133
20220601,137628,b0,B,3.020405908373089,1.117
20220601,137628,b0,C,3.567360676690827,1.122
20220601,137628,b0,D,3.790363537740979,1.122
20220601,137628,r0,A,2.763049812138426,1.655
20220601,137628,r0,B,2.529432213455071,1.488
20220601,137628,r0,C,2.711199954348127,1.583
20220601,137628,r0,D,2.435110683500704,1.507
20220601,137628,z0,A,2.633321100153231,1.614
20220601,137628,z0,B,2.318446829911265,1.519
20220601,137628,z0,C,2.650753125989983,1.673
20220601,137628,z0,D,2.350611036174744,1.491
20220601,137628,b1,A,4.76386228017632,1.308
20220601,137628,b1,B,3.170420735994086,1.286
20220601,137628,b1,C,4.123886196180573,1.288
20220601,137628,b1,D,3.226935311954751,1.304
20220601,137628,r1,A,2.926697970440603,1.626
20220601,137628,r1,B,2.826692656672714,1.611
20220601,137628,r1,C,2.704388702550258,1.403
20220601,137628,r1,D,2.620588429204454,1.436
20220601,137628,z1,A,2.617531630723023,1.439
20220601,137628,z1,B,2.414792443678894,1.484
20220601,137628,z1,C,3.500943527109122,1.603
20220601,137628,z1,D,2.566104070506758,1.49
20220601,137628,b2,A,3.569128899292903,1.119
20220601,137628,b2,B,3.096249262980318,1.12
20220601,137628,b2,C,3.129646713815301,1.118
20220601,137628,b2,D,3.006385610655729,1.114
20220601,137628,r2,A,2.689604657299693,1.653
20220601,137628,r2,B,4.510001913664902,1.594
20220601,137628,r2,C,2.4609189783507,1.509
20220601,137628,r2,D,2.4671042302337,1.47
20220601,137628,z2,A,2.273135324113914,1.432
20220601,137628,z2,B,2.236562918225911,1.494
20220601,137628,z2,C,2.671212638583511,1.593
20220601,137628,z2,D,2.331924895592008,1.524
20220601,137628,b3,A,3.712526827244557,1.145
20220601,137628,b3,B,2.934155712378996,1.132
20220601,137628,b3,C,3.519114985227992,1.159
20220601,137628,b3,D,3.016971841974121,1.164
20220601,137628,r3,A,2.667532761326599,1.681
20220601,137628,r3,B,3.113696591615967,1.625
20220601,137628,r3,C,2.341160859543536,1.477
20220601,137628,r3,D,2.268794424909795,1.492
20220601,137628,z3,A,2.801492554455534,1.445
20220601,137628,z3,B,2.620502744810868,1.481
20220601,137628,z3,C,3.099193196874017,1.697
20220601,137628,z3,D,3.122144271509393,1.682
20220601,137628,b4,A,3.956127359434867,1.068
20220601,137628,b4,B,3.052315545356858,1.088
20220601,137628,b4,C,3.428606049572814,1.076
20220601,137628,b4,D,2.963502382279413,1.083
20220601,137628,r4,A,2.966316179948486,1.652
20220601,137628,r4,B,2.905731237951055,1.572
20220601,137628,r4,C,2.575400009699808,1.519
20220601,137628,r4,D,2.483624536269052,1.446
20220601,137628,z4,A,2.578009385937411,1.64
20220601,137628,z4,B,2.448738967236754,1.631
20220601,137628,z4,C,2.641952223868268,1.665
20220601,137628,z4,D,2.312555896498711,1.509
20220601,137628,b5,A,4.072730801323825,1.122
20220601,137628,b5,B,3.038990603394857,1.127
20220601,137628,b5,C,4.423001366329224,1.162
20220601,137628,b5,D,3.092393222397003,1.132
20220601,137628,r5,A,3.175107994400496,1.684
20220601,137628,r5,B,3.078272979389032,1.655
20220601,137628,r5,C,2.846315673923909,1.467
20220601,137628,r5,D,2.695726011832617,1.509
20220601,137628,z5,A,2.431258838296252,1.572
20220601,137628,z5,B,2.212033272726627,1.511
20220601,137628,z5,C,2.63187476856491,1.72
20220601,137628,z5,D,2.505091503881942,1.658
20220601,137628,b6,A,3.881131243172816,1.29
20220601,137628,b6,B,3.26744177823444,1.284
20220601,137628,b6,C,3.216151892085279,1.292
20220601,137628,b6,D,3.174343058771103,1.295
20220601,137628,r6,A,2.691619925703313,1.704
20220601,137628,r6,B,3.110047330897634,1.665
20220601,137628,r6,C,2.389584149033461,1.491
20220601,137628,r6,D,2.309699172056434,1.531
20220601,137628,z6,A,2.181656784128557,1.387
20220601,137628,z6,B,2.286087357102575,1.518
20220601,137628,z6,C,2.385484283996284,1.534
20220601,137628,z6,D,2.442480510181074,1.554
20220601,137628,b7,A,3.289139320883817,1.117
20220601,137628,b7,B,2.793696652853216,1.117
20220601,137628,b7,C,3.202060154333179,1.127
20220601,137628,b7,D,2.827207745096757,1.128
20220601,137628,r7,A,2.604966873505329,1.666
20220601,137628,r7,B,2.515344964135734,1.67
20220601,137628,r7,C,2.206678187919478,1.444
20220601,137628,r7,D,2.272277839251184,1.505
20220601,137628,z7,A,2.376237184140188,1.533
20220601,137628,z7,B,2.399694917866684,1.53
20220601,137628,z7,C,2.669872492372289,1.667
20220601,137628,z7,D,2.509435989036237,1.547
20220601,137628,b8,A,3.62365948959507,1.091
20220601,137628,b8,B,2.91913723748428,1.121
20220601,137628,b8,C,3.182964973821283,1.141
20220601,137628,b8,D,3.042589577212742,1.135
20220601,137628,r8,A,2.677144686736979,1.627
20220601,137628,r8,B,2.230289850144725,1.482
20220601,137628,r8,C,2.595542218949558,1.581
20220601,137628,r8,D,2.580337303864196,1.589
20220601,137628,z8,A,2.499772916525836,1.466
20220601,137628,z8,B,2.234015959841255,1.498
20220601,137628,z8,C,2.61295760396081,1.655
20220601,137628,z8,D,2.570800127672899,1.658
20220601,137628,b9,A,3.605085079421398,1.106
20220601,137628,b9,B,2.746398840015718,1.083
20220601,137628,b9,C,3.170737293511649,1.115
20220601,137628,b9,D,3.153284294835357,1.12
20220601,137628,r9,A,2.640928749976862,1.591
20220601,137628,r9,B,2.189175784594477,1.412
20220601,137628,r9,C,2.929650403890664,1.543
20220601,137628,r9,D,2.144800868337099,1.406
20220601,137628,z9,A,2.337657291178065,1.436
20220601,137628,z9,B,2.391325334637958,1.496
20220601,137628,z9,C,2.613344295402853,1.625
20220601,137628,z9,D,2.412462665051657,1.531
20220602,137853,b0,A,4.129409603097081,1.133
20220602,137853,b0,B,3.039800534063255,1.117
20220602,137853,b0,C,3.586040697607348,1.122
20220602,137853,b0,D,3.784019186184428,1.122
20220602,137853,r0,A,2.768386281658334,1.655
20220602,137853,r0,B,2.533742989601696,1.488
20220602,137853,r0,C,2.713129614348603,1.583
20220602,137853,r0,D,2.430083921466103,1.507
20220602,137853,z0,A,2.628871235992844,1.614
20220602,137853,z0,B,2.313456470460711,1.519
20220602,137853,z0,C,2.653164965025511,1.673
20220602,137853,z0,D,2.352176621259351,1.491
20220602,137853,b1,A,4.603154234266183,1.308
20220602,137853,b1,B,3.182302753339784,1.286
20220602,137853,b1,C,4.062418132961098,1.288
